anno,corridore,squadra,nazione,altezza,peso,eta,Rank UCI
1989,Laurent Fignon,Super U,Francia,174,67,28,1
1990,Gianni Bugno,Chateau d'ax,Italia,177,68,26,1
1991,Franco Chioccioli,Del Tongo,Italia,NaN,NaN,31,11
1992,Miguel Indurain,Banesto,Spagna,188,80,27,2
1993,Miguel Indurain,Banesto,Spagna,188,80,28,4
1994,Evgeni Berzin,Gewiss,Russia,176,68,24,3
1995,Tony Rominger,Mapei,Svizzera,173,65,34,4
1996,Pavel tonkov,Panaria,Russia,179,71,27,51
1997,Ivan Gotti,Saeco,Italia,173,55,28,50
1998,Marco Pantani,Mercatone Uno,Italia,172,57,28,3
1999,Ivan Gotti,Team Polti,Italia,173,55,30,54
2000,Stefano Garzelli,Mercatone Uno,Italia,175,62,27,17
2001,Gilberto Simoni,Lampre,Italia,170,65,29,7
2002,Paolo Savoldelli,Index-Al,Italia,180,70,29,34
2003,Gilberto Simoni,Saeco,Italia,170,65,31,9
2004,Damiano Cunego,Saeco,Italia,169,58,23,2
2005,Paolo Savoldelli,Discovery,Italia,180,70,32,24
2006,Ivan Basso,team csc,Italia,183,69,28,12
2007,Danilo Di Luca,Liquigas,Italia,170,61,31,3
2008,Alberto Contador,Astana,Spagna,176,62,25,2
2009,Denis Menchov,Rabobank,Russia,180,65,31,28
2010,Ivan Basso,Liquigas,Italia,183,69,32,31
2011,Michele Scarponi,Lampre,Italia,174,63,31,6
2012,Ryder Hesjedal,Garmin,Canada,190,71,31,24
2013,Vincenzo Nibali,Astana,Italia,181,65,28,5
2014,Nairo Quintana,Movistar,Colombia,167,59,24,11
2015,Alberto Contador,Tinkoff,Spagna,176,62,32,10
2016,Vincenzo Nibali,Astana,Italia,181,65,31,21
2017,Tom Dumoulin,Sunweb,Paesi Bassi,185,69,26,5
2018,Chris Froome,Ineos,Regno Unito,186,68,34,18
2019,Richard Carapaz,Movistar,Colombia,170,62,26,34
2020,Tao Geoghegan Hart,Ineos,Regno Unito,183,65,25,23
2021,Egan Bernal,Ineos,Colombia,175,60,24,8
2022,Jai Hindley,Bora,Australia,175,60,26,21
2023,Primoz Roglic,Jumbo,Slovenia,177,65,33,4
2024,Tadej Pogacar,UAE,Slovenia,176,66,25,1